,id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
3578,506581,63000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,3.0,592.96,37.69,0.0,1.26,6.56,0.33,234.0,0,0,11.05089,0
3579,506584,63000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,1.0,0.0,3.0,2.0,1.0,74.0,3.0,326.42,99.62,0.0,0.01,0.03,0.0,234.0,0,0,11.05089,0
3580,506586,63000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,0.0,0.0,1.0,2.0,2.0,1.0,77.0,3.0,539.82,4.16,0.0,1.04,4.96,1.3,52.0,0,0,11.05089,0
3581,506597,63000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5.0,1.0,0.0,0.0,2.0,2.0,1.0,82.0,4.0,218.39,16.13,0.0,0.0,4.79,0.0,52.0,0,0,11.05089,0
3582,506606,63000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,1.0,0.0,3.0,3.0,1.0,102.0,3.0,298.51,1.38,0.0,0.0,23.28,2.31,52.0,0,0,11.05089,0
3583,506619,63360.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,0.0,0.0,2.0,2.0,1.0,63.0,3.0,215.15,7.5,0.0,1.87,8.94,0.94,52.0,0,0,11.05659,0
3584,506620,63360.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0,0.0,1.0,0.0,2.0,2.0,1.0,63.0,3.0,215.15,7.5,0.0,1.87,8.94,0.94,52.0,0,0,11.05659,0
3585,506622,63400.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,0.0,1.0,0.0,3.0,2.0,1.0,68.0,3.0,378.21,87.03,0.0,0.28,1.09,0.06,234.0,0,0,11.05722,0
3586,506683,65000.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,0.0,0.0,3.0,2.0,1.0,43.0,4.0,398.51,22.76,0.0,4.98,21.15,1.1,52.0,0,0,11.08214,0
3587,506729,65000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.0,1.0,0.0,0.0,3.0,2.0,1.0,59.0,4.0,347.91,0.0,0.07,0.0,31.07,56.5,231.67,0,0,11.08214,0
3588,506737,65000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,1.0,0.0,2.0,2.0,1.0,60.0,4.0,294.46,4.89,0.0,1.05,18.95,23.0,131.92,0,0,11.08214,0
3589,506741,65000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,2.0,2.0,1.0,60.0,4.0,351.53,2.72,0.0,0.38,26.63,42.04,196.84,0,0,11.08214,0
3590,506753,65000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,3.0,2.0,1.0,62.0,4.0,489.32,5.23,0.0,0.0,31.42,41.98,234.0,0,0,11.08214,0
3591,506755,65000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.0,0.0,0.0,0.0,3.0,2.0,1.0,62.0,4.0,273.93,4.08,0.0,1.02,18.98,26.45,134.82,0,0,11.08214,0
3592,506758,65000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,62.0,5.0,290.15,4.45,0.0,1.34,20.04,2.13,234.0,0,1,11.08214,0
3593,506829,65000.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,1.0,0.0,0.0,3.0,2.0,1.0,70.0,3.0,517.53,53.14,0.0,1.02,3.93,0.22,234.0,0,0,11.08214,0
3594,506859,65000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2.0,0.0,1.0,0.0,4.0,3.0,1.0,72.0,2.0,410.75,3.14,0.0,1.95,17.58,1.88,234.0,0,0,11.08214,0
3595,506864,65000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5.0,0.0,1.0,0.0,3.0,2.0,1.0,73.0,4.0,449.93,4.83,0.0,1.21,7.03,3.49,59.44,0,0,11.08214,0
3596,506885,65000.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,1.0,0.0,3.0,2.0,1.0,76.0,3.0,338.4,96.71,0.0,0.07,0.28,0.02,234.0,0,0,11.08214,0
3597,506903,65000.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,3.0,2.0,1.0,79.0,4.0,449.93,4.83,0.0,1.21,7.03,3.49,59.44,0,0,11.08214,0
