,price_000,pop_dens,ses,house,area_m2,num_bath,pcn_green,thefts,year,high_ses,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006
2411,55000,187.37,3,0,74,2,4.04,122.0,2004,0,0,0,0,1,0,0
2412,55000,325.51,3,0,77,2,5.2,122.0,2003,0,0,0,1,0,0,0
2413,55000,551.58,3,0,82,2,7.0,122.0,2004,0,0,0,0,1,0,0
2414,55000,265.77,3,0,83,2,4.85,122.0,2004,0,0,0,0,1,0,0
2415,55000,16.73,3,0,113,3,3.85,122.0,2001,0,1,0,0,0,0,0
2416,55000,71.05,3,0,150,2,3.37,122.0,2004,0,0,0,0,1,0,0
2417,55000,108.74,3,1,167,2,3.62,122.0,2004,0,0,0,0,1,0,0
2418,55000,536.39,3,1,180,3,0.64,122.0,2005,0,0,0,0,0,1,0
2419,56000,838.06,3,0,54,2,9.72,122.0,2005,0,0,0,0,0,1,0
2420,56000,393.29,4,0,56,2,0.37,109.73,2004,0,0,0,0,1,0,0
2421,56000,877.31,3,0,65,2,10.92,122.0,2003,0,0,0,1,0,0,0
2422,56000,568.44,3,0,65,2,5.03,122.0,2005,0,0,0,0,0,1,0
2423,56000,485.33,3,0,74,1,4.28,122.0,2004,0,0,0,0,1,0,0
2424,56000,453.89,3,0,74,1,3.9,122.0,2005,0,0,0,0,0,1,0
2425,56000,517.65,3,1,170,3,5.37,122.0,2004,0,0,0,0,1,0,0
2426,56000,671.45,3,1,190,2,1.46,125.13,2003,0,0,0,1,0,0,0
2427,56500,52.16,3,0,74,2,3.67,122.0,2002,0,0,1,0,0,0,0
2428,57000,877.0,3,0,61,2,10.66,122.0,2005,0,0,0,0,0,1,0
2429,57000,568.44,3,0,62,2,5.03,122.0,2005,0,0,0,0,0,1,0
2430,57000,353.95,3,0,68,1,3.73,122.0,2005,0,0,0,0,0,1,0
2431,57000,411.32,3,0,70,1,2.47,122.0,2003,0,0,0,1,0,0,0
2432,57000,52.1,3,0,74,2,2.83,122.0,2004,0,0,0,0,1,0,0
2433,57000,536.06,3,0,78,2,4.71,122.0,2001,0,1,0,0,0,0,0
2434,57000,541.41,3,1,92,2,3.29,130.72,2004,0,0,0,0,1,0,0
2435,57000,290.35,2,1,120,3,7.37,122.0,2004,0,0,0,0,1,0,0
2436,57500,360.31,3,0,72,1,4.46,122.0,2006,0,0,0,0,0,0,1
2437,58000,131.66,3,0,82,2,8.81,122.0,2004,0,0,0,0,1,0,0
2438,58000,481.49,3,0,90,3,6.18,122.0,2001,0,1,0,0,0,0,0
2439,58500,888.53,3,0,65,2,9.13,122.0,2006,0,0,0,0,0,0,1
2440,59000,410.06,3,0,64,1,3.82,122.0,2005,0,0,0,0,0,1,0
2441,59000,450.82,3,0,70,2,4.88,135.71,2004,0,0,0,0,1,0,0
2442,59060,52.96,3,0,63,2,2.92,122.0,2005,0,0,0,0,0,1,0
2443,59060,52.1,3,0,64,2,2.83,122.0,2005,0,0,0,0,0,1,0
2444,59500,511.12,3,0,78,3,2.19,122.0,2004,0,0,0,0,1,0,0
2445,60000,484.85,3,0,60,2,0.22,84.59,2004,0,0,0,0,1,0,0
2446,60000,539.76,3,1,60,3,0.78,122.0,2005,0,0,0,0,0,1,0
2447,60000,877.51,3,0,64,2,8.93,122.0,2004,0,0,0,0,1,0,0
2448,60000,836.11,3,0,65,2,5.16,122.0,2004,0,0,0,0,1,0,0
2449,60000,574.78,3,0,66,3,4.18,122.0,2001,0,1,0,0,0,0,0
2450,60000,285.39,4,0,66,2,4.75,122.0,2004,0,0,0,0,1,0,0
